id,text,example_type,auto_label_sleep_disturbance,auto_label_hypervigilance,auto_label_avoidance,auto_label_intrusive_memories,auto_label_anger_irritability,auto_label_emotional_numbing,auto_label_guilt_shame,auto_label_functional_impairment,annotation_sleep_disturbance,annotation_hypervigilance,annotation_avoidance,annotation_intrusive_memories,annotation_anger_irritability,annotation_emotional_numbing,annotation_guilt_shame,annotation_functional_impairment
syn_1309,"הפסדתי טיסה לחו""ל בגלל הצו הזה. אין לי כוח לשמירות יותר. לא רוצה לשמוע על צו 8 בזמן הקרוב, זה מעצבן בטירוף.",hard_negative,0,0,0,0,0,0,0,0,,,,,,,,
syn_0228,"מאז שנגמר הסבב, הלילות שלי הפכו לסיוט. פשוט לא מצליח לישון כמו שצריך.",positive_clear,1,0,0,0,0,0,0,0,,,,,,,,
syn_0051,"מאז שחזרתי מהסבב האחרון, עשיתי עיקוף שלם כדי לא לעבור ליד הבסיס. אותו סיפור.",positive_clear,0,0,1,0,0,0,0,0,,,,,,,,
syn_1518,נמאס לי מהפקקים בדרך לבסיס. האוכל שם תמיד נוראי. פשוט לא מתאים.,hard_negative,0,0,0,0,0,0,0,0,,,,,,,,
syn_0563,"כל פעם שאני חושב על המילואים, אני מתעורר בבהלה מכל שטות. לגמרי זומבי ואנרגיות שלי על הפנים. זה כמו לילה לבן כל הזמן.",positive_clear,1,1,0,0,0,0,0,0,,,,,,,,
syn_0501,אני מתעצבן מכל שטות מאז ה-7 באוקטובר. צועק על כולם בכביש בלי הפסקה. לא יודע מה קורה לי.,positive_clear,0,0,0,0,1,0,0,0,,,,,,,,
syn_0457,מאז שחזרתי מהמילואים אני מתעצבן מכל שטות. דברים שפעם לא הפריעו לי פתאום מעצבנים אותי. זה ממש לא ברור מה קורה איתי.,positive_clear,0,0,0,0,1,0,0,0,,,,,,,,
syn_0285,"מאז שחזרתי לעבודה, אני חולם חלומות מוזרים וזה מפריע לי לישון. הלילה שוב לא ישנתי טוב. המוח שלי לא נכבה ואני מרגיש כמו זומבי בבוקר.",positive_clear,1,0,0,0,0,0,0,0,,,,,,,,
syn_1508,חבל שלא הייתי ביומולדת של הבת שלי. אני גמור.,hard_negative,0,0,0,0,0,0,0,0,,,,,,,,
syn_0209,מאז שחזרתי מהסבב האחרון אני לא מצליח להירדם בלי טלוויזיה דולקת. אני פשוט זומבי וללא כוח לשמוע אף אחד. זה לא יכול להימשך ככה.,positive_clear,1,0,0,0,1,0,0,0,,,,,,,,
syn_1385,"הרס""ר שוב מסדר לנו תורנויות מטורפות. אין לי שום אנרגיות לזה.",hard_negative,0,0,0,0,0,0,0,0,,,,,,,,
syn_1516,שוב אין תקציב לנסיעות של המילואים. חלאס עם זה. חיים על הפנים.,hard_negative,0,0,0,0,0,0,0,0,,,,,,,,
syn_1827,"מאז שחזרתי לעבודה, דברים קטנים נהיו מסובכים. לא יודע אם זה בגלל שהוא לא חזר, או סתם לחץ. הייתי חייב לעצור את זה איכשהו.",ambiguous,0,0,0,0,0,0,1,0,,,,,,,,
syn_1116,"לא מזמן קרה שאני מתעצבן על הילדים בלי סיבה. הכל עולה לי על הסעיף, ואני לא יודע איך לעצור את זה.",implicit,0,0,0,0,1,0,0,0,,,,,,,,
syn_0178,בשבועות האחרונים אני מתעורר כל כמה שעות לבדוק שהכל בסדר. כבר אין לי כוח לזה.,positive_clear,1,0,0,0,0,0,0,0,,,,,,,,
syn_1209,"קו קשה ממש, אבל סוף סוף נגמר. למה תמיד המילואימניקים מקבלים ציוד ישן? נמאס לי מהבירוקרטיה הזו. אין לי כוח לכל זה.",hard_negative,0,0,0,0,0,0,0,0,,,,,,,,
