id,text,example_type,auto_label_sleep_disturbance,auto_label_hypervigilance,auto_label_avoidance,auto_label_intrusive_memories,auto_label_anger_irritability,auto_label_emotional_numbing,auto_label_guilt_shame,auto_label_functional_impairment,annotation_sleep_disturbance,annotation_hypervigilance,annotation_avoidance,annotation_intrusive_memories,annotation_anger_irritability,annotation_emotional_numbing,annotation_guilt_shame,annotation_functional_impairment
syn_1311,"נמאס לי לישון בשקי שינה. היה קו קשה, אבל לפחות נגמר. אי אפשר ככה. המפקד לא מבין שזה החיים.",hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0228,"מאז שנגמר הסבב, הלילות שלי הפכו לסיוט. פשוט לא מצליח לישון כמו שצריך.",positive_clear,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
syn_0051,"מאז שחזרתי מהסבב האחרון, עשיתי עיקוף שלם כדי לא לעבור ליד הבסיס. אותו סיפור.",positive_clear,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
syn_1520,הקיץ נשרף לי על המילואים האלה. המדים שלי מלאים בחול שוב. הבוס שלי עושה לי פרצופים על זה. אי אפשר ככה.,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0564,"מאז שחזרתי מהמילואים, אני לא פותח חדשות יותר. פשוט אותו סיפור, ככה זה.",positive_clear,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
syn_0502,מאז שהיינו שם אני מרגיש שאני דרוך כל הזמן. פתאום רעש וכבר קפצתי. מה חדש אצלך?,positive_clear,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
syn_0458,"כל פעם שאני נזכר במילואים, פתאום חוזרים לי קטעים לראש על מה שהיה שם. זה פשוט לא עוזב אותי. כבר נמאס לי.",positive_clear,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
syn_0285,"מאז שחזרתי לעבודה, אני חולם חלומות מוזרים וזה מפריע לי לישון. הלילה שוב לא ישנתי טוב. המוח שלי לא נכבה ואני מרגיש כמו זומבי בבוקר.",positive_clear,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
syn_1510,הבוס שלי עושה לי פרצופים על המילואים. תמיד המילואימניקים מקבלים את הציוד הישן. מה חדש בזה?,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0209,מאז שחזרתי מהסבב האחרון אני לא מצליח להירדם בלי טלוויזיה דולקת. אני פשוט זומבי וללא כוח לשמוע אף אחד. זה לא יכול להימשך ככה.,positive_clear,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
syn_1387,"התבאסתי שלא הייתי ביומולדת של הבת שלי. נמאס לי לישון בשקי שינה. הפסדתי טיסה לחו""ל בגלל הצו הזה. תמיד אותו סיפור, סדיר זה החיים.",hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
